acronym,circulating_supply,market_cap,market_cap_currency_exchange,name,price,price_currency_exchange,variance_percent,volume,volume_currency_exchange
BTC,19.82 M,1.93 T,USD,Bitcoin,97377.28,USD,+0.63%,54.94 B,USD
ETH,120.53 M,321.92 B,USD,Ethereum,2670.83,USD,−1.71%,28.25 B,USD
XRP,57.76 B,142.6 B,USD,XRP,2.4688,USD,+6.05%,9 B,USD
USDT,141.36 B,141.4 B,USD,Tether USDt,1.0003,USD,+0.01%,105.8 B,USD
SOL,487.72 M,96.33 B,USD,Solana,197.52,USD,+3.07%,4.64 B,USD
BNB,142.48 M,83.15 B,USD,BNB,583.6,USD,+0.74%,1.58 B,USD
USDC,56.21 B,56.2 B,USD,USDC,0.99978,USD,−0.02%,9.67 B,USD
DOGE,147.95 B,37.35 B,USD,Dogecoin,0.25245,USD,+1.80%,2 B,USD
ADA,35.19 B,25.43 B,USD,Cardano,0.72258,USD,+1.25%,904 M,USD
TRX,86.11 B,20.14 B,USD,TRON,0.23393,USD,+2.31%,697.54 M,USD
LINK,638.1 M,12.04 B,USD,Chainlink,18.874,USD,+0.34%,580.76 M,USD
AVAX,411.8 M,10.34 B,USD,Avalanche,25.118,USD,+0.53%,363.17 M,USD
XLM,30.59 B,10.29 B,USD,Stellar,0.33649,USD,+5.60%,376.07 M,USD
SUI,3.09 B,9.72 B,USD,Sui,3.1448,USD,−1.02%,1.33 B,USD
TON,2.49 B,9.46 B,USD,Toncoin,3.7947,USD,+0.13%,162.51 M,USD
HBAR,38.27 B,9.21 B,USD,Hedera,0.24063,USD,+3.83%,350.74 M,USD
LEO,924.16 M,9.09 B,USD,UNUS SED LEO,9.8314,USD,+0.18%,675.98 K,USD
SHIB,589.25 T,9.07 B,USD,Shiba Inu,1.5398e-05,USD,+1.93%,343.52 M,USD
BGB,1.2 B,7.98 B,USD,Bitget Token,6.6506,USD,−1.21%,411.82 M,USD
LTC,75.51 M,7.87 B,USD,Litecoin,104.24,USD,+2.66%,778.3 M,USD
HYPE,333.93 M,7.86 B,USD,Hyperliquid,23.532,USD,−3.69%,202.99 M,USD
DOT,1.55 B,7.3 B,USD,Polkadot,4.7179,USD,+3.55%,284.11 M,USD
BCH,19.83 M,6.49 B,USD,Bitcoin Cash,327.12,USD,+2.45%,262.13 M,USD
USDE,6.05 B,6.05 B,USD,Ethena USDe,1.0001,USD,−0.00%,63.35 M,USD
OM,971.37 M,5.98 B,USD,MANTRA,6.1564,USD,+4.19%,363.79 M,USD
UNI,600.52 M,5.54 B,USD,Uniswap,9.2243,USD,+1.87%,250.58 M,USD
DAI,5.37 B,5.36 B,USD,Dai,0.99956,USD,−0.01%,222.81 M,USD
ONDO,3.16 B,4.43 B,USD,Ondo,1.4012,USD,+3.02%,699.37 M,USD
PEPE,420.69 T,3.95 B,USD,Pepe,9.3824e-06,USD,+0.04%,853.97 M,USD
NEAR,1.18 B,3.89 B,USD,NEAR Protocol,3.3,USD,+3.24%,180.71 M,USD
XMR,18.45 M,3.9 B,USD,Monero,211.26,USD,−6.06%,58 M,USD
AAVE,15.06 M,3.7 B,USD,Aave,245.97,USD,−0.38%,374.33 M,USD
MNT,3.36 B,3.59 B,USD,Mantle,1.0672,USD,−3.23%,167.29 M,USD
TRUMP,200 M,3.45 B,USD,OFFICIAL TRUMP,17.273,USD,−0.44%,1.51 B,USD
APT,574.34 M,3.36 B,USD,Aptos,5.8565,USD,+0.94%,313.93 M,USD
ICP,480.46 M,3.35 B,USD,Internet Computer,6.9698,USD,+3.23%,86.13 M,USD
ETC,150.66 M,3.04 B,USD,Ethereum Classic,20.2,USD,+1.56%,166.8 M,USD
OKB,60 M,2.79 B,USD,OKB,46.477,USD,+0.19%,5.11 M,USD
VET,80.99 B,2.74 B,USD,VeChain,0.033783,USD,+2.26%,66.21 M,USD
TAO,8.22 M,2.69 B,USD,Bittensor,327.87,USD,−2.66%,186.19 M,USD
POL,8.55 B,2.6 B,USD,POL (ex-MATIC),0.30421,USD,+0.94%,139.91 M,USD
CRO,26.57 B,2.55 B,USD,Cronos,0.096,USD,−0.37%,23.04 M,USD
ALGO,8.42 B,2.36 B,USD,Algorand,0.28047,USD,+3.23%,168 M,USD
KAS,25.69 B,2.28 B,USD,Kaspa,0.088561,USD,+3.98%,105.03 M,USD
RENDER,517.72 M,2.2 B,USD,Render,4.2462,USD,−0.85%,91.67 M,USD
JUP,2.64 B,2.15 B,USD,Jupiter,0.81684,USD,−3.59%,176.02 M,USD
FIL,628.19 M,2.05 B,USD,Filecoin,3.264,USD,+3.47%,176.95 M,USD
ARB,4.34 B,1.91 B,USD,Arbitrum,0.44083,USD,−2.59%,262.36 M,USD
GT,88.75 M,1.84 B,USD,GateToken,20.786,USD,+1.51%,15.21 M,USD
FDUSD,1.82 B,1.82 B,USD,First Digital USD,0.99898,USD,−0.02%,6.68 B,USD
FET,2.39 B,1.8 B,USD,Artificial Superintelligence Alliance,0.75202,USD,+3.79%,153.94 M,USD
ATOM,390.93 M,1.75 B,USD,Cosmos,4.4752,USD,+0.68%,191.57 M,USD
DEXE,83.73 M,1.7 B,USD,DeXe,20.358,USD,+1.32%,13.89 M,USD
ENA,3.13 B,1.62 B,USD,Ethena,0.51636,USD,+5.23%,414.57 M,USD
TIA,519.12 M,1.52 B,USD,Celestia,2.9186,USD,−1.00%,82.64 M,USD
KCS,122.61 M,1.51 B,USD,KuCoin Token,12.347,USD,−0.80%,1.53 M,USD
RAY,290.87 M,1.5 B,USD,Raydium,5.159,USD,+1.40%,140.44 M,USD
LDO,895.94 M,1.43 B,USD,Lido DAO,1.6009,USD,−7.57%,228.32 M,USD
OP,1.35 B,1.43 B,USD,Optimism,1.055,USD,−0.89%,181.73 M,USD
INJ,98.97 M,1.38 B,USD,Injective,13.917,USD,+5.15%,137.85 M,USD
XDC,14.93 B,1.38 B,USD,XDC Network,0.09252,USD,+5.02%,46.54 M,USD
FLR,58.76 B,1.36 B,USD,FLARE,0.023179,USD,+18.85%,35.54 M,USD
IMX,1.74 B,1.37 B,USD,Immutable,0.786,USD,+1.53%,43.57 M,USD
STX,1.51 B,1.36 B,USD,Stacks,0.89714,USD,−1.50%,61.48 M,USD
THETA,1 B,1.35 B,USD,Theta Network,1.3548,USD,+2.37%,26.06 M,USD
MOVE,2.35 B,1.35 B,USD,Movement,0.57515,USD,−1.47%,206.59 M,USD
BONK,77.15 T,1.34 B,USD,Bonk,1.7304e-05,USD,+2.32%,138.07 M,USD
GRT,9.55 B,1.25 B,USD,The Graph,0.13109,USD,+0.21%,65.32 M,USD
WLD,996.57 M,1.23 B,USD,Worldcoin,1.2362,USD,+1.11%,225.2 M,USD
S,2.88 B,1.22 B,USD,Sonic (prev. FTM),0.42407,USD,−2.23%,85.41 M,USD
JASMY,49.44 B,1.11 B,USD,JasmyCoin,0.022431,USD,+2.66%,91.83 M,USD
QNT,12.07 M,1.08 B,USD,Quant,89.841,USD,+4.85%,32.92 M,USD
SEI,4.43 B,991.58 M,USD,Sei,0.2237,USD,+0.61%,93.87 M,USD
SAND,2.45 B,940.04 M,USD,The Sandbox,0.38434,USD,+2.64%,121.84 M,USD
EOS,1.55 B,923.42 M,USD,EOS,0.59764,USD,+3.07%,125.77 M,USD
ENS,35.5 M,916.19 M,USD,Ethereum Name Service,25.81,USD,−1.27%,111.76 M,USD
XTZ,1.03 B,878.98 M,USD,Tezos,0.85419,USD,+2.25%,41.24 M,USD
FLOKI,9.61 T,865.17 M,USD,FLOKI,9.002e-05,USD,+0.81%,161.53 M,USD
NEXO,646.15 M,853.62 M,USD,Nexo,1.3211,USD,−1.53%,10.87 M,USD
XCN,30.79 B,867.55 M,USD,Onyxcoin,0.028176,USD,−0.27%,179.63 M,USD
BTT,986.06 T,853.62 M,USD,BitTorrent-New,8.6569e-07,USD,+1.47%,24.56 M,USD
IOTA,3.63 B,824 M,USD,IOTA,0.22691,USD,+7.20%,51.42 M,USD
MKR,880.43 K,815.24 M,USD,Maker,925.95,USD,+2.87%,87.79 M,USD
GALA,36.91 B,812.62 M,USD,Gala,0.022015,USD,+4.18%,128.03 M,USD
BSV,19.82 M,784.93 M,USD,Bitcoin SV,39.599,USD,+1.97%,51.62 M,USD
KAIA,5.94 B,782.94 M,USD,Kaia,0.13183,USD,−0.75%,27.48 M,USD
VIRTUAL,647.87 M,759.44 M,USD,Virtuals Protocol,1.1722,USD,+0.76%,177.89 M,USD
FLOW,1.56 B,763.56 M,USD,Flow,0.48876,USD,+3.08%,32.63 M,USD
NEO,70.54 M,752.23 M,USD,Neo,10.664,USD,+1.92%,41.25 M,USD
JTO,291.29 M,742.36 M,USD,Jito,2.5485,USD,+0.20%,55.07 M,USD
USDD,741.05 M,741.2 M,USD,USDD,1.0002,USD,−0.07%,12.59 M,USD
WIF,998.84 M,719.31 M,USD,dogwifhat,0.72014,USD,−1.19%,378.37 M,USD
XAUT,246.52 K,710.78 M,USD,Tether Gold,2883.22,USD,+0.27%,8.27 M,USD
MELANIA,483.31 M,707.57 M,USD,Official Melania Meme,1.464,USD,−2.54%,73.61 M,USD
AERO,764.69 M,673.02 M,USD,Aerodrome Finance,0.88012,USD,+1.04%,44.28 M,USD
PYTH,3.62 B,659.13 M,USD,Pyth Network,0.18183,USD,−2.06%,46.68 M,USD
RON,619.39 M,658.78 M,USD,Ronin,1.0636,USD,+2.22%,18.18 M,USD
PENGU,62.86 B,650.79 M,USD,Pudgy Penguins,0.010353,USD,−6.83%,165.81 M,USD
AXS,158.42 M,649.94 M,USD,Axie Infinity,4.1025,USD,+3.79%,35.08 M,USD
